Country,Cases,Deaths
Afghanistan,127502,30
Algeria,147,0
Angola,2000473,11658
Argentina,117,0
Armenia,20,0
Azerbaijan,259,0
Bangladesh,40164,236
Belize,571,0
Benin,1038445,1305
Bhutan,1849,5
Bolivia (Plurinational State of),12892,1
Botswana,1591,14
Brazil,337076,86
Burkina Faso,2975400,6020
Burundi,2292461,1860
Côte d'Ivoire,1101428,3695
Cabo Verde,72,2
Cambodia,47744,232
Cameroon,814234,3521
Central African Republic,226622,1064
Chad,379046,1026
China,12879,23
Colombia,108180,67
Comoros,241829,27
Congo,60606,643
Costa Rica,850,0
Democratic People's Republic of Korea,24416,0
Democratic Republic of the Congo,4157939,18253
Djibouti,4321,9
Dominican Republic,1649,10
Ecuador,24040,19
Egypt,1,1
El Salvador,95,0
Equatorial Guinea,30323,43
Eritrea,17753,37
Eswatini,467,18
Ethiopia,1118114,1218
Gabon,39029,479
Gambia,163933,243
Georgia,110,0
Ghana,2028952,2756
Guatemala,18442,1
Guinea,272259,659
Guinea-Bissau,59299,488
Guyana,21719,24
Haiti,28057,27
Honduras,11401,1
India,1500747,845
Indonesia,312895,395
Iran (Islamic Republic of),8923,1
Iraq,259,0
Kazakhstan,0,
Kenya,1410390,25030
Kyrgyzstan,223,0
Lao People's Democratic Republic,24139,74
Liberia,935094,1108
Madagascar,220812,552
Malawi,2777949,5492
Malaysia,5300,20
Mali,1399792,1553
Mauritania,10763,93
Mauritius,0,
Mexico,2404,0
Morocco,2,1
Mozambique,3702363,3154
Myanmar,257663,1185
Namibia,17288,483
Nepal,4351,6
Nicaragua,5156,2
Niger,1216955,2274
Nigeria,5236885,6331
Oman,2,0
Pakistan,195249,83
Panama,1505,1
Papua New Guinea,166323,497
Paraguay,968,0
Peru,60807,7
Philippines,24122,106
Republic of Korea,1275,1
Rwanda,964354,1454
Sao Tome and Principe,16289,77
Saudi Arabia,1053,0
Senegal,193701,988
Sierra Leone,744977,1790
Solomon Islands,53243,33
Somalia,19859,29
South Africa,10583,113
South Sudan,345732,1156
Sri Lanka,18702,9
Sudan,607721,1355
Suriname,4610,5
Syrian Arab Republic,5,1
Tajikistan,2811,0
Thailand,33007,150
Timor-Leste,24804,31
Togo,755467,1312
Turkey,2799,1
Turkmenistan,4,0
Uganda,2833495,5912
United Arab Emirates,0,
United Republic of Tanzania,1864398,10173
Uzbekistan,35,0
Vanuatu,6284,3
Venezuela (Bolivarian Republic of),80615,16
Viet Nam,24734,31
Yemen,154207,54
Zambia,4654792,5261
Zimbabwe,222220,691
